price,quantity,timestamp,buy_or_sell,limit_or_market,
571.91000,0.41347303,1527825618.9702,b,m,
571.91000,5.00000000,1527825618.9778,b,m,
571.91000,5.00000000,1527825618.9807,b,m,
572.30000,0.16000000,1527825618.9841,b,m,
572.52000,0.03400000,1527825618.9865,b,m,
572.56000,0.02500000,1527825618.9892,b,m,
572.58000,0.02700000,1527825618.9923,b,m,
572.63000,0.02800000,1527825618.9956,b,m,
572.64000,0.03500000,1527825618.9982,b,m,
572.64000,17.46400000,1527825619.0009,b,m,
572.65000,0.03200000,1527825619.0037,b,m,
572.66000,0.03200000,1527825619.0068,b,m,
572.66000,1.74952697,1527825619.0096,b,m,
571.72000,0.21600000,1527825626.7684,s,l,
571.72000,0.40921430,1527825629.8315,s,l,
571.51000,0.17500000,1527825630.6775,s,l,
571.51000,4.82500000,1527825630.9811,s,l,
571.50000,0.17497812,1527825630.9849,s,l,
571.28000,4.08002188,1527825630.9876,s,l,
571.28000,9.08000000,1527825631.8793,s,l,
571.28000,4.29097812,1527825632.5845,s,l,
571.02000,2.99000000,1527825632.5884,s,l,
571.00000,11.16900000,1527825632.5919,s,l,
571.00000,6.41602188,1527825632.5946,s,l,
571.00000,7.28097812,1527825639.9772,s,l,
570.51000,10.00000000,1527825643.6789,s,m,
570.51000,6.10000000,1527825645.3789,s,l,
570.51000,58.64528562,1527825645.4808,s,l,
570.03000,0.69976659,1527825680.9942,s,l,
569.99000,0.50000000,1527825687.8365,b,l,
569.99000,1.00131006,1527825687.8395,b,l,
569.99000,0.01150595,1527825687.8415,b,l,
569.99000,0.30916332,1527825687.9999,b,l,
569.99000,0.10026067,1527825695.8049,b,m,
569.52000,0.26190316,1527825739.4992,s,l,
569.50000,4.73809684,1527825739.5083,s,l,
569.52000,0.19500000,1527825740.6375,b,l,
569.50000,0.26190316,1527825741.1971,s,l,
569.40000,0.13711800,1527825741.49,s,l,
568.63000,0.03795227,1527825748.4929,b,l,
568.55000,0.81667150,1527825748.5035,s,m,
568.54000,3.27264998,1527825748.5081,s,m,
568.26000,34.08300000,1527825748.5134,s,m,
568.00000,1.82767852,1527825748.5162,s,m,
568.64000,5.00000000,1527825760.4448,b,l,
568.15000,5.00000000,1527825781.5088,s,l,
568.01000,5.00000000,1527825781.5262,s,l,
568.01000,1.00697543,1527825781.5294,s,l,
568.00000,42.95532148,1527825781.5322,s,l,
567.99000,3.67933073,1527825783.5148,b,l,
567.99000,0.32066927,1527825783.5174,b,l,
568.00000,8.21000000,1527825783.5198,b,l,
568.00000,1.19600000,1527825783.5532,b,l,
568.00000,3.14000000,1527825788.1977,b,l,
568.00000,1.63100000,1527825789.9401,b,l,
568.00000,1.19100000,1527825790.2116,b,l,
568.00000,1.19100000,1527825791.0503,b,l,
568.00000,1.31200000,1527825792.4736,b,l,
567.99000,0.13530685,1527825792.5289,b,l,
568.00000,0.25869315,1527825792.5324,b,l,
568.00000,1.11600000,1527825793.2979,b,l,
568.00000,1.11600000,1527825793.3831,b,l,
568.00000,1.53500000,1527825795.8136,b,l,
568.00000,2.14400000,1527825796.0298,b,l,
568.00000,1.32300000,1527825796.0642,b,l,
568.00000,5.25706797,1527825802.693,b,l,
568.00000,8.98393203,1527825802.7019,b,l,
568.00000,0.44500000,1527825815.3525,b,m,
568.00000,2.07764085,1527825837.9822,b,l,
568.00000,2.62406039,1527825838.9386,b,l,
567.99000,0.60000000,1527825840.3592,s,m,
568.00000,5.00000000,1527825846.1837,b,l,
568.00000,81.97783042,1527825851.9457,b,l,
568.00000,0.31468500,1527825851.9519,b,l,
568.00000,0.90510130,1527825851.9546,b,l,
568.00000,0.52900000,1527825851.9572,b,l,
568.00000,1.00000000,1527825851.9601,b,l,
568.00000,3.00000000,1527825851.9627,b,l,
568.00000,9.00000000,1527825851.9652,b,l,
568.00000,14.24100000,1527825851.9679,b,l,
568.00000,25.61109257,1527825851.9707,b,l,
568.00000,9.70759941,1527825851.9734,b,l,
568.64000,0.98500000,1527825852.8297,b,l,
569.45000,0.17800000,1527825856.1358,b,m,
569.45000,2.61850734,1527825857.9898,b,l,
569.13000,1.50000000,1527825858.0373,s,m,
569.45000,1.20349266,1527825862.3974,b,l,
569.56000,0.03400000,1527825868.1332,b,l,
569.77000,0.04605851,1527825868.1367,b,l,
569.79000,0.02000000,1527825868.1394,b,l,
569.99000,0.10526500,1527825868.1426,b,l,
570.00000,1.25967649,1527825868.1458,b,l,
570.00000,1.48000000,1527825875.5936,b,l,
570.00000,10.46055692,1527825895.1999,b,l,
570.48000,0.39785226,1527825940.3701,s,l,
570.47000,0.40500000,1527825940.3753,s,l,
570.44000,0.40500000,1527825941.9107,b,l,
570.60000,0.40500000,1527825984.6722,b,m,
570.77000,0.02300058,1527825984.6779,b,m,
570.90000,0.02237863,1527825984.6805,b,m,
570.91000,0.02280930,1527825984.6831,b,m,
570.91000,5.00000000,1527825984.6861,b,m,
570.93000,0.02500000,1527825984.6886,b,m,
570.94000,0.02000000,1527825984.6913,b,m,
570.95000,0.03000000,1527825984.6938,b,m,
570.96000,0.02300000,1527825984.6962,b,m,
570.97000,0.03400000,1527825984.6986,b,m,
570.98000,0.02700000,1527825984.7011,b,m,
570.99000,0.05100000,1527825984.7035,b,m,
571.63000,1.68200000,1527825984.7062,b,m,
571.63000,2.55000000,1527825984.7094,b,m,
571.64000,0.02700000,1527825984.7121,b,m,
571.65000,0.84100000,1527825984.7147,b,m,
571.66000,42.13026677,1527825984.7174,b,m,
571.64000,0.03400000,1527826038.7445,b,l,
571.65000,0.02300000,1527826038.7528,b,l,
571.68000,17.44400000,1527826069.7904,s,l,
571.66000,0.12400000,1527826071.2653,s,l,
571.03000,2.99000000,1527826076.6557,s,l,
571.01000,1.54927855,1527826076.6609,s,l,
570.86000,4.46072145,1527826076.6646,s,l,
570.86000,37.01127855,1527826077.5639,s,l,
570.86000,11.17100000,1527826077.5678,s,l,
570.66000,0.27009510,1527826081.0714,s,l,
570.43000,0.17530634,1527826098.7428,s,l,
569.98000,0.55728457,1527826119.3971,b,l,
570.00000,4.45271543,1527826119.606,b,l,
570.00000,14.24100000,1527826125.7508,b,l,
569.85000,4.50000000,1527826146.0992,b,l,
569.99000,0.40258794,1527826155.5664,b,l,
570.00000,4.60741206,1527826155.5833,b,l,
570.00000,5.01000000,1527826158.4215,b,l,
570.00000,14.24100000,1527826167.8183,b,l,
570.00000,14.24100000,1527826178.9679,b,l,
570.00000,1.10000000,1527826200.941,b,l,
570.00000,117.37016266,1527826203.3233,b,l,
570.49000,0.31458579,1527826307.1106,b,l,
570.63000,0.34625348,1527826307.12,b,l,
570.63000,0.35184324,1527826307.1226,b,l,
570.64000,9.35800000,1527826307.1252,b,l,
571.38000,5.00000000,1527826648.0511,b,l,
571.39000,1.50000000,1527826663.1901,b,m,
571.39000,1.50000000,1527826663.218,b,m,
571.42000,0.03400000,1527826714.1583,b,m,
571.42000,1.96600000,1527826714.1832,b,m,
571.50000,4.50000000,1527826741.9851,b,l,
571.54000,0.03400000,1527826741.9993,b,l,
571.54000,3.55476000,1527826742.0023,b,l,
571.41000,0.15236974,1527826759.2266,s,l,
571.40000,0.00000057,1527826779.1898,b,m,
571.39000,14.24100000,1527826804.678,s,l,
571.39000,14.24100000,1527826813.388,s,l,
571.39000,1.51800000,1527826828.5138,s,l,
571.03000,5.00000000,1527826934.1359,s,l,
571.03000,5.00000000,1527826934.1527,s,l,
571.00000,0.04000000,1527826934.1559,s,l,
571.00000,10.00000000,1527826934.1594,s,l,
571.00000,17.46700000,1527826934.1633,s,l,
570.84000,5.99000000,1527826934.1659,s,l,
570.40000,5.00000000,1527826934.1702,s,l,
570.37000,5.00000000,1527826934.1728,s,l,
570.36000,5.00000000,1527826934.1753,s,l,
570.32000,5.00000000,1527826934.1778,s,l,
570.22000,9.63704749,1527826934.1805,s,l,
570.22000,0.02115496,1527826934.1833,s,l,
570.22000,0.00003755,1527826934.1852,s,l,
571.04000,5.00000000,1527826960.2564,s,l,
571.04000,5.00000000,1527826960.2618,s,l,
571.00000,0.03698838,1527827202.3651,b,l,
571.01000,0.03721662,1527827208.29,b,l,
571.04000,1.38625546,1527827217.8933,b,l,
571.04000,0.08674832,1527827217.9143,b,l,
571.03000,4.25500000,1527827247.455,s,l,
570.38000,0.22400000,1527827255.4428,s,l,
570.38000,4.03100000,1527827255.8642,s,l,
570.25000,0.22351301,1527827259.4354,s,l,
570.16000,0.35492610,1527827259.4433,s,l,
570.14000,7.10156089,1527827259.4469,s,l,
570.14000,9.00000000,1527827260.4231,s,l,
570.14000,0.09106032,1527827284.5322,b,l,
570.02000,0.80143951,1527827297.1503,s,l,
570.00000,0.50000000,1527827297.1717,s,l,
569.59000,4.16400000,1527827371.5142,b,l,
569.60000,0.15492435,1527827372.4721,b,l,
569.66000,0.15535327,1527827372.4783,b,l,
569.67000,4.68972238,1527827372.4817,b,l,
569.59000,4.16400000,1527827374.2995,s,l,
569.66000,5.36500000,1527827419.4413,s,l,
