price,quantity,timestamp,buy_or_sell,limit_or_market,
7485.20000,0.47790658,1527825606.5129,s,m,
7485.20000,0.00622300,1527825606.5299,s,m,
7485.20000,0.01587042,1527825606.5325,s,m,
7481.50000,0.50000000,1527825606.5354,s,m,
7480.50000,0.01336809,1527825666.9644,s,m,
7475.70000,0.10594754,1527825666.9765,s,m,
7475.50000,0.88068437,1527825666.9799,s,m,
7475.60000,0.01365489,1527825683.9826,s,l,
7481.80000,0.02817426,1527825699.0338,b,m,
7481.90000,0.07882574,1527825699.0434,b,m,
7476.00000,0.01803834,1527825700.2496,s,l,
7476.30000,0.01896660,1527825740.6195,b,l,
7481.50000,0.01402700,1527825740.6235,b,l,
7475.50000,0.24875394,1527825756.469,s,l,
7475.50000,1.00000000,1527825757.2317,s,m,
7475.50000,0.08289884,1527825761.864,s,l,
7475.50000,0.15725343,1527825764.5634,s,l,
7475.50000,0.02689093,1527825785.1649,s,l,
7475.50000,0.11340346,1527825789.7418,s,l,
7475.50000,0.25000000,1527825815.5767,s,m,
7475.50000,0.25000000,1527825815.5834,s,m,
7475.50000,0.67745000,1527825824.5782,s,m,
7475.50000,0.25990354,1527825826.3058,s,l,
7475.50000,0.80708704,1527825831.8068,s,l,
7475.50000,0.23692684,1527825834.3265,s,l,
7475.50000,0.21359155,1527825834.3437,s,l,
7475.50000,0.30459045,1527825834.892,s,l,
7475.50000,2.41000000,1527825835.6963,s,l,
7475.50000,0.08573607,1527825836.5409,s,l,
7475.50000,0.08612564,1527825836.8483,s,l,
7475.50000,0.76676316,1527825838.0974,s,l,
7475.50000,8.16271782,1527825838.9481,s,l,
7475.50000,0.00928000,1527825838.9522,s,l,
7475.50000,1.00000000,1527825838.9555,s,l,
7475.50000,4.18600000,1527825838.9587,s,l,
7475.50000,0.07920000,1527825838.9619,s,l,
7475.50000,0.22360000,1527825838.9653,s,l,
7475.50000,0.00410000,1527825838.9686,s,l,
7475.50000,4.18600000,1527825838.9718,s,l,
7475.50000,1.00000000,1527825838.9755,s,l,
7475.50000,4.18600000,1527825838.9787,s,l,
7475.50000,0.13400067,1527825838.9817,s,l,
7475.50000,0.22360000,1527825838.9848,s,l,
7475.50000,1.00000000,1527825838.9883,s,l,
7475.50000,0.00201000,1527825838.9914,s,l,
7475.50000,0.30000000,1527825838.9947,s,l,
7475.50000,0.15877248,1527825838.9978,s,l,
7475.50000,0.00024676,1527825839.0008,s,l,
7475.50000,3.13534607,1527825839.004,s,l,
7475.50000,3.25106694,1527825839.0078,s,l,
7466.60000,2.62192969,1527825839.0114,s,l,
7463.70000,0.00530217,1527825839.0141,s,l,
7463.40000,1.13082740,1527825839.0174,s,l,
7468.90000,0.39726195,1527825860.4045,b,l,
7473.50000,0.01587042,1527825863.3951,b,l,
7473.50000,0.48412958,1527825863.401,b,l,
7475.40000,0.31565489,1527825863.404,b,l,
7475.50000,2.77434511,1527825863.4071,b,l,
7473.40000,0.01706207,1527825864.9017,b,l,
7475.50000,2.22565489,1527825864.9049,b,l,
7480.20000,0.05000000,1527825870.8325,b,l,
7480.20000,1.11000000,1527825877.3259,b,m,
7481.50000,0.11558244,1527825931.228,s,l,
7480.10000,0.01336880,1527825947.1296,s,l,
7479.40000,0.89932706,1527825955.412,b,l,
7482.50000,0.01081973,1527825955.4192,b,l,
7483.50000,0.00401134,1527825955.4225,b,l,
7483.80000,1.00000000,1527825955.4251,b,l,
7483.80000,0.99084187,1527825955.4277,b,l,
7479.50000,0.01220870,1527825956.5724,s,l,
7483.90000,0.00699944,1527825969.437,b,m,
7484.30000,0.00698665,1527825969.4406,b,m,
7490.50000,0.05301391,1527825969.443,b,m,
7482.70000,0.04807262,1527826017.2221,s,m,
7478.10000,0.00519973,1527826123.2634,b,l,
7478.80000,0.04010000,1527826238.4107,s,l,
7478.20000,0.00281210,1527826294.6737,s,l,
7478.20000,0.02838790,1527826294.6804,s,l,
7483.10000,0.19351689,1527826383.5964,b,m,
7487.70000,0.07224591,1527826383.7188,b,m,
7478.20000,0.00057477,1527826449.2031,s,m,
7478.20000,0.00149889,1527826449.2122,s,m,
7487.60000,0.00472065,1527826565.1626,b,m,
7487.80000,0.99527935,1527826565.3054,b,m,
7486.80000,0.15000000,1527826745.6929,b,m,
7486.80000,0.85000000,1527826747.6888,b,l,
7488.40000,0.30975932,1527826781.3091,b,m,
7488.40000,0.69024068,1527826781.315,b,m,
7488.40000,0.24147133,1527826781.3178,b,m,
7490.30000,0.50852867,1527826781.3217,b,m,
7488.30000,0.15000000,1527826794.1782,s,l,
7487.80000,0.50000000,1527826874.2306,b,l,
7487.90000,1.00000000,1527826874.2468,b,l,
7488.40000,1.00000000,1527826874.2502,b,l,
7490.30000,0.49147133,1527826874.2529,b,l,
7490.90000,2.79000000,1527826874.2556,b,l,
7493.00000,1.14604914,1527826874.2588,b,l,
7493.00000,0.00090792,1527826874.2616,b,l,
7495.90000,0.00530217,1527826874.2643,b,l,
7496.20000,2.47700000,1527826874.2674,b,l,
7496.30000,4.50000000,1527826874.2707,b,l,
7496.60000,1.00000000,1527826874.2729,b,l,
7496.80000,1.74562685,1527826874.2761,b,l,
7498.70000,0.10205388,1527826874.2788,b,l,
7498.80000,0.93775728,1527826874.2818,b,l,
7498.80000,0.13164921,1527826874.2839,b,l,
7498.80000,2.17218222,1527826874.286,b,l,
7487.80000,0.00300000,1527826926.8075,b,l,
7487.20000,0.20000000,1527826942.5662,b,m,
7483.00000,1.00000000,1527826975.81,s,l,
7481.00000,0.80000000,1527826975.8414,s,l,
7480.40000,0.96307951,1527826975.8444,s,l,
7480.30000,0.48412958,1527826975.8479,s,l,
7480.30000,0.01587042,1527826975.8519,s,l,
7480.20000,0.10000000,1527826975.8548,s,l,
7480.20000,1.00000000,1527826975.8575,s,l,
7479.00000,0.00057496,1527827051.173,s,m,
7479.00000,0.00148752,1527827051.1986,s,m,
7479.00000,0.07000000,1527827063.8941,s,l,
7480.00000,0.63692049,1527827083.482,b,l,
7489.30000,0.02953297,1527827083.4921,b,l,
7490.30000,1.00000000,1527827083.4954,b,l,
7491.40000,1.00000000,1527827083.498,b,l,
7493.10000,1.00000000,1527827083.5006,b,l,
7493.20000,1.30000000,1527827083.5031,b,l,
7494.30000,1.00000000,1527827083.5057,b,l,
7497.20000,2.10000000,1527827083.5081,b,l,
7497.90000,1.04737611,1527827083.5126,b,l,
7500.00000,0.05000000,1527827083.5162,b,l,
7500.00000,0.83617043,1527827084.0146,s,l,
7487.40000,1.00000000,1527827177.1989,b,l,
7490.40000,1.00000000,1527827177.4994,b,l,
7491.80000,0.00300000,1527827178.4492,b,l,
7495.80000,1.00000000,1527827178.4532,b,l,
7495.90000,0.97900622,1527827178.456,b,l,
7496.60000,0.66382957,1527827178.4589,b,l,
7500.50000,1.00000000,1527827178.4615,b,l,
7500.50000,0.02790995,1527827178.4648,b,l,
7500.60000,2.00000000,1527827178.4676,b,l,
7501.10000,4.51100000,1527827178.4707,b,l,
7504.00000,4.00000000,1527827178.4741,b,l,
7504.10000,1.00000000,1527827178.4764,b,l,
7504.50000,4.50000000,1527827178.4798,b,l,
7504.70000,2.72990000,1527827178.483,b,l,
7506.20000,0.80000000,1527827178.4853,b,l,
7508.50000,3.36000000,1527827178.4881,b,l,
7508.60000,7.06200000,1527827178.4904,b,l,
7508.60000,4.36335426,1527827178.493,b,l,
7482.60000,0.04500000,1527827444.9427,b,l,
7482.70000,0.18520000,1527827466.5937,s,l,
7482.70000,0.03083773,1527827468.5613,s,l,
7482.90000,0.01465657,1527827528.3796,s,l,
7483.20000,0.23070000,1527827564.7539,s,l,
7482.90000,0.00300000,1527827642.6474,s,m,
7482.90000,0.54700000,1527827642.6613,s,m,
7482.70000,0.00855608,1527827723.3622,s,l,
7483.20000,0.01163125,1527827765.7288,s,m,
7483.20000,0.00001875,1527827765.7358,s,m,
7479.90000,0.05000000,1527827849.3602,s,l,
7480.00000,0.02202725,1527827867.9807,b,l,
7480.20000,0.02069638,1527827867.9848,b,l,
7478.50000,0.26000000,1527827919.1175,s,m,
7478.40000,0.74000000,1527827919.1285,s,m,
7476.70000,0.01586963,1527828009.6918,s,l,
7476.70000,0.03970600,1527828059.5478,s,l,
7472.80000,0.11029400,1527828059.5536,s,l,
7473.50000,0.00434500,1527828081.5189,b,l,
7473.50000,0.09100000,1527828081.5663,b,l,
7476.60000,0.02731420,1527828098.7588,s,l,
7476.60000,0.02690000,1527828108.0526,s,l,
7476.60000,0.00490000,1527828151.5933,s,l,
7476.90000,0.01712269,1527828168.1201,b,l,
7481.40000,0.01260000,1527828168.1475,b,l,
7481.50000,0.30906058,1527828168.1502,b,l,
7485.40000,0.01535002,1527828168.1538,b,l,
7485.40000,0.01386980,1527828168.1564,b,l,
7485.50000,2.67400000,1527828168.1589,b,l,
7488.90000,0.34098830,1527828168.1624,b,l,
7489.00000,2.00000000,1527828168.165,b,l,
7489.60000,2.39000000,1527828168.1676,b,l,
7489.90000,1.00000000,1527828168.1703,b,l,
7490.00000,1.00000000,1527828168.1736,b,l,
7491.60000,0.22700861,1527828168.1763,b,l,
7476.80000,0.01544095,1527828173.6565,s,l,
7477.40000,0.02108489,1527828236.2841,b,l,
7479.90000,0.00205913,1527828255.0228,b,m,
7477.80000,0.00350859,1527828324.6862,s,l,
7477.70000,0.01369739,1527828335.1145,s,m,
7477.90000,0.02613011,1527828394.5534,b,l,
7478.20000,0.23050000,1527828493.3237,s,l,
7478.40000,0.01244033,1527828496.242,b,l,
7478.30000,0.00274348,1527828498.4853,s,l,
7479.50000,0.10000000,1527828500.6871,b,l,
7479.40000,0.00240000,1527828507.8011,s,l,
7485.50000,0.06151000,1527828557.1812,s,m,
7488.40000,0.00328294,1527828576.6113,b,l,
7491.40000,0.00263805,1527828576.6163,b,l,
7493.20000,0.00000035,1527828600.2731,s,l,
7493.20000,0.00219965,1527828600.2782,s,l,
7494.90000,0.00670000,1527828610.4932,b,l,
7495.10000,1.99330000,1527828610.498,b,l,
7493.30000,0.18907855,1527828618.8073,b,l,
7494.90000,1.00000000,1527828618.8201,b,l,
7495.20000,1.00000000,1527828618.8231,b,l,
7495.20000,1.00000000,1527828618.8257,b,l,
7496.00000,0.00332269,1527828618.8294,b,l,
7498.90000,0.62842567,1527828618.8329,b,l,
7500.00000,0.05000000,1527828618.8356,b,l,
7500.00000,0.05000000,1527828618.8377,b,l,
7500.00000,0.41557900,1527828619.4654,s,l,
7500.00000,0.41716720,1527828620.152,s,l,
7500.00000,0.40003600,1527828620.1673,s,l,
7500.00000,0.00940000,1527828620.3181,s,l,
7500.00000,4.83699089,1527828620.3622,s,l,
7495.10000,0.20000000,1527828634.3974,b,m,
7495.10000,0.20000000,1527828634.4089,b,m,
7493.20000,0.04169432,1527828673.9425,s,l,
7493.20000,0.08166105,1527828680.7033,s,l,
7493.20000,0.00286522,1527828689.374,s,l,
7493.80000,4.26060000,1527828692.8323,b,l,
7494.20000,1.00000000,1527828692.8437,b,l,
7494.90000,1.00000000,1527828692.8468,b,l,
7495.00000,1.00000000,1527828692.8501,b,l,
7496.40000,1.00000000,1527828692.8772,b,l,
7496.50000,1.00000000,1527828692.88,b,l,
7498.30000,0.73940000,1527828692.8845,b,l,
7493.20000,0.00672525,1527828708.0462,s,l,
