price,quantity,timestamp,buy_or_sell,limit_or_market,
0.60962000,1096.38938385,1527825631.0267,s,l,
0.60940000,4905.90000000,1527825636.4918,s,l,
0.60780000,4007.21400000,1527825829.6473,s,l,
0.60680000,249.66533942,1527825829.6583,s,m,
0.60680000,0.64744652,1527825829.6613,s,m,
0.60680000,0.00121406,1527825829.6632,s,m,
0.60780000,4934.20000000,1527825861.2639,b,l,
0.60859000,1159.74761233,1527825864.2628,b,l,
0.60860000,0.00038767,1527825864.2666,b,l,
0.60860000,999.99961233,1527825865.6218,b,l,
0.60931000,48.41400000,1527825951.4059,b,l,
0.60931000,3623.58600000,1527825969.1498,s,l,
0.60930000,2396.10400000,1527825969.1583,s,l,
0.60935000,31.99700000,1527826032.198,b,l,
0.60936000,31.99900000,1527826032.2057,b,l,
0.60937000,31.99900000,1527826032.2082,b,l,
0.60938000,31.99500000,1527826032.2107,b,l,
0.60939000,63.17600000,1527826032.2131,b,l,
0.60940000,30.35200000,1527826032.2155,b,l,
0.60941000,3880.20472000,1527826032.2184,b,l,
0.60941000,1119.79528000,1527826075.673,b,l,
0.60950000,30.35600000,1527826078.6205,s,l,
0.60950000,2603.89600000,1527826078.8563,s,l,
0.60950000,347.67544000,1527826080.5333,s,l,
0.60900000,4099.40000000,1527826082.5102,s,l,
0.60853000,3612.77948499,1527826291.2111,b,l,
0.60851000,30.39700000,1527826762.2331,b,m,
0.60851000,55.05200000,1527826762.2429,b,m,
0.60852000,21.55100000,1527826762.2455,b,m,
0.60848000,51.76500000,1527826868.6129,b,l,
0.60850000,35.33000000,1527826868.6726,b,l,
0.60851000,43.54700000,1527826868.6758,b,l,
0.60852000,8.84700000,1527826868.6783,b,l,
0.60852000,32.04200000,1527826868.6808,b,l,
0.60853000,887.22051501,1527826868.6841,b,l,
0.60894000,32.02100000,1527826868.6866,b,l,
0.60895000,30.37900000,1527826868.6893,b,l,
0.60898000,40.23100000,1527826868.6917,b,l,
0.60899000,30.37500000,1527826868.6941,b,l,
0.60900000,30.37300000,1527826868.7005,b,l,
0.60901000,3777.86948499,1527826868.7032,b,l,
0.60838000,1374.91900000,1527827202.2126,s,l,
0.60850000,434.96000000,1527827636.9597,s,l,
0.60850000,565.04000000,1527827712.0718,s,l,
0.60850000,4167.74954807,1527827712.0877,s,l,
0.60838000,500.00000000,1527827758.1848,s,l,
0.60838000,340.13000000,1527827769.9123,s,l,
0.60838000,500.00000000,1527827805.945,s,l,
0.60829000,3300.65034770,1527827843.5766,b,l,
0.60622000,1000.00000000,1527828037.0749,b,m,
0.60622000,4000.00000000,1527828102.3472,b,l,
0.60696000,53.54400000,1527828211.514,b,l,
